"Site","Alder_FS","Ash_FS","Beech_FS","Birch_FS","Elm_FS","Hazel_FS","Oak_FS","Rowan_FS","Sycamore_FS","Willow_FS","Conifer_FS","OthDecid_FS","Alder_cent","Ash_cent","Beech_cent","Birch_cent","Elm_cent","Hazel_cent","Oak_cent","Rowan_cent","Sycamore_cent","Willow_cent","Conifer_cent","OthDecid_cent","Total_cent"
"LVN",0.625,1,0,16.625,0,0,1.25,0.125,0,0,5,0.3,-5.16551832123316,-4.79051832123316,-5.79051832123316,10.8344816787668,-5.79051832123316,-5.79051832123316,-4.54051832123316,-5.66551832123316,-5.79051832123316,-5.79051832123316,-0.790518321233164,-5.49051832123316,-44.561219854798
"MCH",0,31.0416666666667,0,0,0,0,10.0833333333333,0,42.375,0,17.375,0,-5.79051832123316,25.2511483454335,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,4.29281501210017,-5.79051832123316,36.5844816787668,-5.79051832123316,11.5844816787668,-5.79051832123316,31.388780145202
"MUN",1.65625,0.1875,5.8125,15.90625,0.78125,0,26.8046875,0.5,0,1.625,42.2265625,0,-4.13426832123316,-5.60301832123316,0.0219816787668341,10.1157316787668,-5.00926832123316,-5.79051832123316,21.0141691787668,-5.29051832123316,-5.79051832123316,-4.16551832123316,36.4360441787668,-5.79051832123316,26.013780145202
"NEW",1.8125,0,0,30.0625,0,0,0,0.0625,0,0.0625,0,1.53125,-3.97801832123316,-5.79051832123316,-5.79051832123316,24.2719816787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.72801832123316,-5.79051832123316,-5.72801832123316,-5.79051832123316,-4.25926832123316,-35.954969854798
"OSP",1.03125,12.5078125,30.96875,1,13.3828125,0.25,10.546875,0.25,25.9765625,0,5.6640625,8.28125,-4.75926832123316,6.71729417876683,25.1782316787668,-4.79051832123316,7.59229417876683,-5.54051832123316,4.75635667876683,-5.54051832123316,20.1860441787668,-5.79051832123316,-0.126455821233165,2.49073167876683,40.373155145202
"PIT",0,0,0,3.125,0,0.4375,89.3828125,0.75,0,0,0,3.73125,-5.79051832123316,-5.79051832123316,-5.79051832123316,-2.66551832123317,-5.79051832123316,-5.35301832123316,83.5922941787668,-5.04051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-2.05926832123316,27.940342645202
"PTH",5.5,51.46875,0,0,5.40625,0.4375,19.515625,0.5,21.9140625,0.875,1.9375,2.625,-0.290518321233165,45.6782316787668,-5.79051832123316,-5.79051832123316,-0.384268321233164,-5.35301832123316,13.7251066787668,-5.29051832123316,16.1235441787668,-4.91551832123316,-3.85301832123316,-3.16551832123316,40.693467645202
"RSY",0,32.4140625,0,0,2.71875,0,1.6875,0,66.1328125,0,3.25,8.3125,-5.79051832123316,26.6235441787668,-5.79051832123316,-5.79051832123316,-3.07176832123317,-5.79051832123316,-4.10301832123317,-5.79051832123316,60.3422941787668,-5.79051832123316,-2.54051832123317,2.52198167876683,45.029405145202
"RTH",0,0,0,14.4166666666667,0,0,97.125,0,0,0,0,0,-5.79051832123316,-5.79051832123316,-5.79051832123316,8.6261483454335,-5.79051832123316,-5.79051832123316,91.3344816787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,42.0554468118687
"SER",3.6875,1.53125,1.5625,8.6875,1.65625,0.375,9.4140625,0,31.90625,15.5,1.6875,2.0625,-2.10301832123316,-4.25926832123316,-4.22801832123317,2.89698167876683,-4.13426832123316,-5.41551832123316,3.62354417876683,-5.79051832123316,26.1157316787668,9.70948167876683,-4.10301832123317,-3.72801832123316,8.58409264520202
"SLS",0,0,0,54.40625,0,0,0,0.25,0,2.1875,0,0,-5.79051832123316,-5.79051832123316,-5.79051832123316,48.6157316787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.54051832123316,-5.79051832123316,-3.60301832123316,-5.79051832123316,-5.79051832123316,-12.642469854798
"SPD",0,0,0,8.875,0,0,68.203125,0.125,0,0,0,0.625,-5.79051832123316,-5.79051832123316,-5.79051832123316,3.08448167876683,-5.79051832123316,-5.79051832123316,62.4126066787668,-5.66551832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.16551832123316,8.34190514520201
"STY",0,0.25,0.25,11.1875,0,0,20.0390625,1,19.625,5.25,27,0.125,-5.79051832123316,-5.54051832123316,-5.54051832123316,5.39698167876684,-5.79051832123316,-5.79051832123316,14.2485441787668,-4.79051832123316,13.8344816787668,-0.540518321233164,21.2094816787668,-5.66551832123316,15.240342645202
"TAI",0,0.166666666666667,32.9479166666667,33.625,16.75,0,0,0,4.125,0.166666666666667,6.84375,11.625,-5.79051832123316,-5.6238516545665,27.1573983454335,27.8344816787668,10.9594816787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-1.66551832123317,-5.6238516545665,1.05323167876683,5.83448167876683,36.763780145202
"TOM",0,0,0,55.0390625,0,0,0,0,0,0,0,0,-5.79051832123316,-5.79051832123316,-5.79051832123316,49.2485441787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-14.447157354798
